Order Number,PFMON_AL,PFMON_AS,PEMON_BE,PFMON_CD,PFMON_CA,Date,PFMON_ZN,PFMON_CO,PFMON_CU,PFMON_CR,PFMON_SN,PFMON_FE,PFMON_LI,PFMON_MG,PFMON_MN,PFMON_HG,PFMON_MO,PFMON_NI,PFMON_PB,PFMON_K,PFMON_SE,PFMON_NA,PFMON_V,end
MPS-1046-22,174.7136,174.7136,174.7136,174.7136,174.7136,2022/12/28 17:50:06,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,174.7136,
MPS-1047-22,181.6157,181.6157,181.6157,181.6157,181.6157,2022/12/28 17:51:25,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,181.6157,
MPS-1048-22,165.0388,165.0388,165.0388,165.0388,165.0388,2022/12/28 17:54:00,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,165.0388,
MPS-1049-22,181.1504,181.1504,181.1504,181.1504,181.1504,2022/12/28 17:57:11,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,181.1504,
MPS-1050-22,163.0551,163.0551,163.0551,163.0551,163.0551,2022/12/28 18:00:02,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,163.0551,
MPS-1051-22,180.5999,180.5999,180.5999,180.5999,180.5999,2022/12/28 18:03:02,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,180.5999,
QC,199.9993,199.9993,199.9993,199.9993,199.9993,2022/12/28 18:06:38,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,199.9993,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
