Order Number,PE_F1,Date_1,HR,T,PE_F2,Date,HR,T,FISO_MON,FISO_MPF,end
7631,0.3583,2022/12/22 14:29:48,31.5,20.5,0.3582,2022/12/26 10:16:56,31.1,23.2,0.3583,0.0214,
7632,0.3610,2022/12/22 14:31:01,31.5,20.5,0.3612,2022/12/26 10:18:46,31.1,23.2,0.3611,0.0281,
7633,0.3620,2022/12/22 14:33:46,31.5,20.5,0.3618,2022/12/26 10:22:54,31.1,23.2,0.3619,0.0281,
7634,0.3733,2022/12/22 14:37:27,31.5,20.5,0.3733,2022/12/26 10:28:03,31.1,23.2,0.3733,0.0367,
7635,0.3644,2022/12/22 14:41:52,31.5,20.5,0.3642,2022/12/26 10:32:01,31.1,23.2,0.3643,0.0288,
7623,0.3576,2022/12/22 14:46:05,31.5,20.5,0.3577,2022/12/26 10:34:14,31.1,23.2,0.3577,0.0256,
7630,0.3602,2022/12/22 14:49:17,31.5,20.5,0.3604,2022/12/26 10:39:15,31.1,23.2,0.3603,0.0252,
7666,0.3707,2022/12/22 14:52:20,31.5,20.5,0.3705,2022/12/26 10:42:19,31.1,23.2,0.3706,0.0309,
QC,0.9999,2022/12/22 14:54:29,33.9,20.8,0.9999,2022/12/26 10:45:34,28.4,22.7,0.9999,0.9999,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
